Orario,Lunedì,Martedì,Mercoledì,Giovedì ,Venerdì
13:00-14:00,"1023608 - BASI DI DATI
(De Marsico)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]","10620642 - SISTEMI OPERATIVI
(bando)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]","10620600 - ALGORITMI 2
(Monti)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]","10620600 - ALGORITMI 2
(Monti)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]","10620642 - SISTEMI OPERATIVI
(bando)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]"
14:00-15:00,,,,,
15:00-16:00,"10620601 - ARCHITETTURA DEGLI ELABORATORI 1
(Massini)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]","1023608 - BASI DI DATI
(De Marsico)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]",,"10620642 - SISTEMI OPERATIVI
(bando)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]","10620601 - ARCHITETTURA DEGLI ELABORATORI 1
(Massini)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]"
16:00-17:00,,,"1023608 - BASI DI DATI
(De Marsico)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]",,
17:00-18:00,,,,,
