Orario,Monday,Tuesday,Wednesday,Thursday,Friday
8:00-9:00,"10627226 - LINEAR ALGEBRA
(Tschaikowski)
[Aula 3 Via De Lollis  - Via Tiburtina 205 RM158-E01PTEL003]",,,"10631060 - COMPUTER ARCHITECTURE 
UNIT 1
(De Sensi)
[Aula 3 Via De Lollis  - Via Tiburtina 205 RM158-E01PTEL003]","10630324 - CALCULUS
 UNIT 1
(Ansini)
[Aula 3 Via De Lollis  - Via Tiburtina 205 RM158-E01PTEL003]"
9:00-10:00,,"10631060 - COMPUTER ARCHITECTURE 
UNIT 1
(De Sensi)
[Aula 3 Via De Lollis  - Via Tiburtina 205 RM158-E01PTEL003]","
10630324 - CALCULUS 
UNIT 1
(Ansini)
[Aula 3 Via De Lollis  - Via Tiburtina 205 RM158-E01PTEL003]",,
10:00-11:00,"10630468 - PROGRAMMING UNIT 1
(Sterbini)
[Aula 3 Via De Lollis  - Via Tiburtina 205 RM158-E01PTEL003]",,,,
11:00-12:00,,"10627226 - LINEAR ALGEBRA
(Tschaikowski)
[Aula 3 Via De Lollis  - Via Tiburtina 205 RM158-E01PTEL003]",,,"10630468 - PROGRAMMING
UNIT 2
(Spognardi)
[Aula Informatica 15 - Via Tiburtina 205
RM025-E01PTEL024
Aula Informatica 17 - Via Tiburtina 205
RM025-E01PTEL001]"
12:00-13:00,,,"10630468 - PROGRAMMING UNIT 1
(Sterbini)
[Aula Informatica 15 - Via Tiburtina 205
RM025-E01PTEL024
Aula Informatica 17 - Via Tiburtina 205
RM025-E01PTEL001]",,
13:00-14:00,,,,,
14:00-15:00,,,"10630468 - PROGRAMMING
UNIT 2
(Spognardi)
[Aula Informatica 15 - Via Tiburtina 205
RM025-E01PTEL024
Aula Informatica 17 - Via Tiburtina 205
RM025-E01PTEL001]",,
15:00-16:00,,,,,
