Orario,Lunedì,Martedì,Mercoledì,Giovedì ,Venerdì
13:00-14:00,"1023608 - BASI DI DATI
(Perelli)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]","10620600 - ALGORITMI 2
(Wollan)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]","10620600 - ALGORITMI 2
(Wollan)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]","10620642 - SISTEMI OPERATIVI
(Tolomei)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]","1023608 - BASI DI DATI
(Perelli)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]"
14:00-15:00,,,,,
15:00-16:00,"10620601 - ARCHITETTURA DEGLI ELABORATORI 1
(Pontarelli)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]","10620642 - SISTEMI OPERATIVI
(Tolomei)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]",,"1023608 - BASI DI DATI
(Perelli)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]",
16:00-17:00,,,"10620642 - SISTEMI OPERATIVI
(Tolomei)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]",,"10620601 - ARCHITETTURA DEGLI ELABORATORI 1
(Pontarelli)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]"
17:00-18:00,,,,,
