Orario,Lunedì,Martedì,Mercoledì,Giovedì ,Venerdì
8:00-9:00,"AAF2511 - INGLESE
(bando)
[Aula 3L - Via Del Castro Laurenziano 7a - RM018-E01PTEL025]","10631195 - ANALISI MATEMATICA I MODULO 
(Aiello)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]","10628189 - FONDAMENTI DI PROGRAMMAZIONE
(De Sensi)
[Aula Informatica 15 - Via Tiburtina 205
RM025-E01PTEL024
Aula Informatica 17 - Via Tiburtina 205
RM025-E01PTEL001]","10631195 - ANALISI MATEMATICA I MODULO (Aiello)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]","AAF2511 - INGLESE
(bando)
[Aula 3L - Via Del Castro Laurenziano 7a - RM018-E01PTEL025]"
9:00-10:00,,,,,
10:00-11:00,,"10629623 - METODI MATEMATICI PER L'INFORMATICA
(Carlucci)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]",,,"10628189 - FONDAMENTI DI PROGRAMMAZIONE
(M. Mancini)
[Aula 3 Via De Lollis  - Via Tiburtina 205 RM158-E01PTEL003]"
11:00-12:00,,,"10628189 - FONDAMENTI DI PROGRAMMAZIONE
(M. Mancini)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]","10629623 - METODI MATEMATICI PER L'INFORMATICA
(Carlucci)
[Aula 4 De Lollis - Via Tiburtina 205 - RM158-E01PTEL004]",
12:00-13:00,,,,,
