Orario,Monday,Tuesday,Wednesday,Thursday,Friday
8:00-9:00,"10595531 - DEEP LEARNING
(Spinelli)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]","10595530 - FOUNDATIONS OF COMPUTER SCIENCE 
(Gorla)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]",,"10595532 - CYBERSECURITY
(Spognardi)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]","10595531 - DEEP LEARNING
(Spinelli)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]"
9:00-10:00,,,,,
10:00-11:00,"10595530 - FOUNDATIONS OF COMPUTER SCIENCE
(Gorla)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]","10595532 - CYBERSECURITY
(Spognardi)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]",,"10595534 - WEB AND SOFTWARE ARCHITECTURE
(Panizzi)
[Aula 1L - Via Del Castro Laurenziano 7a - RM018-E01PTEL013]",
11:00-12:00,,,,,
12:00-13:00,,,,,
13:00-14:00,,,,,
14:00-15:00,"10595534 - WEB AND SOFTWARE ARCHITECTURE
(Panizzi)
[Aula 201 (Edificio D) - Viale Regina Elena 295-
RM112-E01P02L005]",,,,
15:00-16:00,,,,,
